YearsCode,YearsCodeProfessional,Background,SalaryUSD,Education,Age,Country,Blockchain,HTML_CSS,LISP,Java,JavaScript,OCaml,Cplusplus,Scala,PHP,Python,C,Fortran,SQL,R,C_sharp,MATLAB,Julia,Clojure,Ruby,Rust,Haskell
20,13,"I am not primarily a developer, but I write code sometimes as part of my work",104063.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Poland,Very unfavorable,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
12,5,I am a developer by profession,47990.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Austria,Indifferent,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
17,8,"I am not primarily a developer, but I write code sometimes as part of my work",29664.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,India,Favorable,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
14,5,I am a developer by profession,46923.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Greece,Indifferent,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
4,1,I am a developer by profession,56221.0,"Associate degree (A.A., A.S., etc.)",18-24 years old,Canada,Very unfavorable,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no
5,3,I am a developer by profession,177000.0,"Associate degree (A.A., A.S., etc.)",35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
25,22,I am a developer by profession,78084.0,Some college/university study without earning a degree,35-44 years old,Canada,Indifferent,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no
5,1,I am a developer by profession,5752.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,India,Favorable,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
14,8,I am a developer by profession,76783.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Unfavorable,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
6,2,I am a developer by profession,59000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18 years old,United States of America,Very unfavorable,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,yes
24,21,I am a developer by profession,81049.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,France,Indifferent,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
14,10,I am a developer by profession,92000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Favorable,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
7,7,I am a developer by profession,188888.0,Some college/university study without earning a degree,35-44 years old,United States of America,Unsure,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
8,6,I am a developer by profession,175000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,United States of America,Favorable,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
20,14,I am a developer by profession,191959.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Germany,Indifferent,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no
12,10,I am a developer by profession,125639.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Unfavorable,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no
13,10,I am a developer by profession,79983.0,Some college/university study without earning a degree,25-34 years old,Germany,Unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
29,23,"I am not primarily a developer, but I write code sometimes as part of my work",132743.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Canada,Very unfavorable,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
13,6,I am a developer by profession,145000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Very unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
27,13,I am a developer by profession,175000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
8,3,I am a developer by profession,85893.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Canada,Very unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
20,7,"I am not primarily a developer, but I write code sometimes as part of my work",117308.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
11,4,"I am not primarily a developer, but I write code sometimes as part of my work",39885.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Indifferent,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
10,7,I am a developer by profession,134000.0,Some college/university study without earning a degree,25-34 years old,United States of America,Indifferent,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no
25,21,I am a developer by profession,63986.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Slovenia,Favorable,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
15,10,I am a developer by profession,119441.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Germany,Very unfavorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
38,27,I am a developer by profession,90647.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Belgium,Favorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
15,12,I am a developer by profession,74651.0,Some college/university study without earning a degree,25-34 years old,Germany,Very favorable,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
23,14,I am a developer by profession,177500.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,United States of America,Very unfavorable,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
