Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Site,Launch_Mass_kg,Inclination_radians
USA,Government,Solar Physics,LEO,Sun-Synchronous,670.0,710.0,0.00283,98.6,Vandenberg AFB,115.0,1.706932008
Denmark,Civil,Technology Development,LEO,,770.0,787.0,0.00119,100.42,Satish Dhawan Space Center,0.8,1.721418241
International,Commercial,Communications,GEO,,35777.0,35794.0,0.0002,1436.08,Baikonur Cosmodrome,2894.0,0.000174533
International,Commercial,Communications,GEO,,35785.0,35789.0,5e-05,1436.13,Cape Canaveral,1459.0,0.032463124
China (PR),Commercial,Communications,GEO,,35780.0,35793.0,0.00015,1436.1,Cape Canaveral,4143.0,0.000174533
International,Commercial,Communications,GEO,,35780.0,35791.0,0.00013,1436.06,Guiana Space Center,3500.0,0.000174533
USA,Military,Electronic Surveillance,GEO,,35560.0,36013.0,0.00537,1436.14,Cape Canaveral,4500.0,0.134739418
USA,Military,Electronic Surveillance,GEO,,35589.0,35984.0,0.00468,1436.1,Cape Canaveral,4500.0,0.055850536
USA,Military,Electronic Surveillance,GEO,,35714.0,35937.0,0.00264,1438.8,Cape Canaveral,5000.0,0.050440015
USA,Military,Electronic Surveillance,GEO,,35500.0,35500.0,0.0,,Cape Canaveral,5000.0,0.0
USA,Military,Electronic Surveillance,GEO,,35771.0,35805.0,0.0004,23.94,Cape Canaveral,5000.0,0.0
USA,Military,Communications,GEO,,35872.0,36103.0,0.00273,1446.36,Cape Canaveral,6169.0,0.076096355
USA,Military,Communications,GEO,,35700.0,35700.0,0.0,1306.29,Cape Canaveral,6169.0,0.355872634
USA,Military,Communications,GEO,,35700.0,35700.0,0.0,1306.29,Cape Canaveral,6169.0,0.355872634
USA,Government,Technology Development,LEO,,480.0,790.0,0.02213,97.4,Vandenberg AFB,3.0,0.000349066
USA,Commercial,Technology Development,LEO,,495.0,791.0,0.0211,97.5,Vandenberg AFB,4.5,1.127482697
USA,Commercial,Technology Development,LEO,,499.0,792.0,0.02088,97.6,Vandenberg AFB,4.5,1.127482697
USA,Commercial,Technology Development,LEO,,443.0,886.0,0.03149,98.0,Vandenberg AFB,5.0,2.09963109
USA,Commercial,Technology Development,LEO,,443.0,886.0,0.03149,98.0,Vandenberg AFB,5.0,2.09963109
Multinational,Commercial,Communications,GEO,,35764.0,35808.0,0.00052,1436.08,Guiana Space Center,3460.0,0.002094395
Malaysia,Commercial,Communications,GEO,,35784.0,35787.0,4e-05,1436.06,Guiana Space Center,1450.0,0.019547688
USA,Commercial,Communications,GEO,,35770.0,35802.0,0.00038,1436.09,Guiana Space Center,2704.0,0.000523599
International,Commercial,Communications,GEO,,35769.0,35802.0,0.00039,1436.07,Xichang Satellite Launch Center,3775.0,0.000872665
Italy,Government,Scientific Research,LEO,,510.0,534.0,0.00174,95.1,Satish Dhawan Space Center,325.0,0.043633231
USA,Government,Earth Science,LEO,,570.0,583.0,0.00094,96.2,Vandenberg AFB,215.0,1.706932008
Norway,Government,Maritime Tracking/Technology Development,LEO,Sun-Synchronous,615.0,632.0,0.00122,97.2,Sriharikota Launch Station,6.0,1.710422667
Russia,Civil,Technology Development,LEO,,599.0,626.0,0.00193,96.9,Plesetsk Cosmodrome,,1.438151304
Russia,Civil,Technology Development,LEO,,558.0,582.0,0.00173,96.06,Baikonur Cosmodrome,53.0,1.132369619
Japan,Civil,Space Physics,Elliptical,,264.0,5732.0,0.29184,150.4,Uchinoura Space Center,,1.310742268
USA,Military,Technology Development,LEO,,443.0,886.0,0.03149,98.0,Vandenberg AFB,5.0,2.09963109
UK/ESA,Commercial/Government,Communications/Technology Development,GEO,,35786.0,35787.0,1e-05,1436.09,Guiana Space Center,6650.0,0.000349066
Algeria,Government,Earth Observation,LEO,Sun-Synchronous,672.0,674.0,0.00014,98.2,Sriharikota Launch Station,130.0,1.712167996
Brazil,Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.1,Baikonur Cosmodrome,4545.0,0.000698132
Spain,Commercial,Communications,GEO,,35767.0,35805.0,0.00045,1436.08,Guiana Space Center,5465.0,0.000523599
Spain,Commercial,Communications,GEO,,35781.0,35791.0,0.00012,1436.05,Guiana Space Center,6265.0,0.000523599
USA,Commercial,Communications,GEO,,35772.0,35800.0,0.00033,1436.1,Cape Canaveral,2783.0,0.000523599
USA,Commercial,Communications,GEO,,35775.0,35797.0,0.00026,1436.09,Cape Canaveral,2315.0,0.000174533
USA,Commercial,Communications,GEO,,35774.0,35797.0,0.00027,1436.07,Cape Canaveral,2340.0,0.000698132
USA,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.08,Baikonur Cosmodrome,4200.0,0.000698132
USA,Commercial,Communications,GEO,,35780.0,35793.0,0.00015,1436.1,Cape Canaveral,4312.0,0.000349066
USA,Commercial,Communications,GEO,,35773.0,35800.0,0.00032,1436.1,Guiana Space Center,2081.0,0.001047198
USA,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,Guiana Space Center,2648.0,0.000872665
USA,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.1,Guiana Space Center,2500.0,0.052359878
USA,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.08,Cape Canaveral,2845.0,0.000349066
USA,Commercial,Communications,GEO,,35781.0,35791.0,0.00012,1436.1,Guiana Space Center,3909.0,0.000174533
USA,Commercial,Communications,GEO,,35777.0,35796.0,0.00023,1436.1,Guiana Space Center,1698.0,0.000523599
USA,Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.12,Baikonur Cosmodrome,3901.0,0.000872665
USA,Commercial,Communications,GEO,,35773.0,35798.0,0.0003,1436.08,Guiana Space Center,1935.0,0.000174533
USA,Commercial,Communications,GEO,,35773.0,35798.0,0.0003,1436.07,Guiana Space Center,2015.0,0.000523599
USA,Commercial,Communications,GEO,,35773.0,35798.0,0.0003,1436.08,Baikonur Cosmodrome,4100.0,0.000872665
Israel,Military/Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.08,Baikonur Cosmodrome,1400.0,0.000872665
Israel,Military/Commercial,Communications,GEO,,35783.0,35789.0,7e-05,1436.1,Baikonur Cosmodrome,,0.000698132
Israel,Military/Commercial,Communications,GEO,,35633.0,35796.0,0.00194,1432.0,Baikonur Cosmodrome,,0.000174533
Israel,Military/Commercial,Communications,GEO,,35595.0,36007.0,0.00488,1436.08,Baikonur Cosmodrome,1600.0,0.001570796
USA,Civil,Amateur Radio,LEO,Sun-Synchronous,1440.0,1459.0,0.00121,114.9,Vandenberg AFB,29.0,1.769763862
Canada,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.08,Guiana Space Center,4710.0,0.000349066
Canada,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.1,Baikonur Cosmodrome,4500.0,0.000349066
Canada,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.08,Guiana Space Center,5910.0,0.000174533
Canada,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.1,Baikonur Cosmodrome,4715.0,0.000174533
Canada,Commercial,Communications,GEO,,35773.0,35799.0,0.00031,1436.08,Baikonur Cosmodrome,4905.0,0.000174533
